Category Code,Product Code,Name,Description,Scan Identifier,Category Name,Enabled,Type,Component Product Code,Component Quantity,Component Price,HSN CODE,Tax Calculation Type,Batch Group,GRN expiry tolerance (in days),Dispatch expiry tolerance (in days),Return expiry tolerance (in days),Expirable,Determine Expiry From,Shelf Life
ROBOTICS COMPONENT,RB-1112,YF s201 water flow,,RB-1112,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1113,0.96 OLED,,RB-1113,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1114,1 CHANNEL RELAY,,RB-1114,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1115,1000 KV MOTOR,,RB-1115,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1116,10000W,,RB-1116,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1117,1400 KV BRUSHLESS MOTOR,,RB-1117,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1118,150 W ADJUSTABLE MODULE,,RB-1118,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1119,1602 LCD SHIELD,,RB-1119,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1120,16x2 BLUE,,RB-1120,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1121,16X2 DISPLAY{GREEN},,RB-1121,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1122,170 POINT BREADBOARD,,RB-1122,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1123,1800KV BRUSHLES MOTOR,,RB-1123,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1124,2 CHANNEL RELAY,,RB-1124,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1125,30A ESC,,RB-1125,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1126,30CM JUMPER WIRE,,RB-1126,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1127,4 CHANNEL,,RB-1127,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1128,4 way IR,,RB-1128,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1129,400 KV,,RB-1129,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1130,400 POINT BREADBOARD,,RB-1130,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1131,4000 W scr,,RB-1131,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1132,58 mm Blue PRINTER,,RB-1132,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1133,5MM LED,,RB-1133,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1134,80 mm Thermal Printer,,RB-1134,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1135,80 mm Thermal Printer + LAN,,RB-1135,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1136,A4988,,RB-1136,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1137,ADXL335,,RB-1137,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1138,ADXL345,,RB-1138,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1139,Amplifier TPA2116,,RB-1139,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1140,ANTENNA,,RB-1140,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1141,APM2.8,,RB-1141,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1142,BC557,,RB-1142,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1143,B6 CHARGER,,RB-1143,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1144,BARCODE SCANNER,,RB-1144,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1145,BB 400 Point,,RB-1145,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1146,BB 830 Orange,,RB-1146,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1147,BB 830 White mb102,,RB-1147,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1148,BC548,,RB-1148,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1149,BMP280,,RB-1149,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
