Channel Name,Product Name,Channel Product Id,Seller Sku Code,Uniware Sku Code,Blocked Inventory,Disabled,Selling Price,Max Retail Price,Currency Code,Status Code,Next Inventory Update,Last Inventory Update
FLIPKART_techleads,Robotbanao Tower Pro Mg995 Metal Gear High Torque Servo Motor Control Electronic Hobby Kit (),LSTEHKFE7PARVTA2MCRAOKSLD,TL-26003,RB-1209,0,FALSE,,,,LINKED,576,629
FLIPKART_JAIN,Robotbanao Tower Pro Mg995 Metal Gear High Torque Servo Motor Control Electronic Hobby Kit,LSTEHKFE7PARVTA2MCRAOKSLD,TL-26003,RB-1209,0,FALSE,,,,LINKED,576,
AMAZON_IN_techleads,Techleads Tower Pro Mg995 Metal Gear High Torque Servo,B07N4M59SC,TL-26003,RB-1209,0,FALSE,,,,LINKED,576,629
FLIPKART_techleads,Robotbanao Motor Driver Shield Expansion Board L293D For Arduino UNO Motor Control Electronic Hobby Kit (),LSTEHKFE8GUQJ9PSGUSD15ZOZ,TL-26005,RB-1192,0,FALSE,,,,LINKED,1028,1066
FLIPKART_JAIN,Robotbanao Motor Driver Shield Expansion Board L293D For Arduino UNO Motor Control Electronic Hobby Kit,LSTEHKFE8GUQJ9PSGUSD15ZOZ,TL-26005,RB-1192,0,FALSE,,,,LINKED,1028,
AMAZON_IN_techleads,Techleads Motor Driver Shield Expansion Board L293D For Arduino Uno,B07N4M4PVF,TL-26005,RB-1192,0,FALSE,,,,LINKED,1028,1094
FLIPKART_techleads,Robotbanao XL6009 DC-DC Step-up Module with Adjustable Booster Power Supply Module Power Supply Electronic Hobby Kit (),LSTEHKFE8JAE6HAXEZ8HOKXZD,TL-26006,RB-1266,0,FALSE,,,,LINKED,2274,2369
AMAZON_IN_techleads,Techleads Xl6009 Dcdc Stepup Module With Adjustable Booster Power Supply Module,B07N4LSJR4,TL-26006,RB-1266,0,FALSE,,,,LINKED,2274,2368
FLIPKART_JAIN,Robotbanao XL6009 DC-DC Step-up Module with Adjustable Booster Power Supply Module Power Supply Electronic Hobby Kit,LSTEHKFE8JAE6HAXEZ8HOKXZD,TL-26006,RB-1266,0,FALSE,,,,LINKED,2274,
AMAZON_IN_techleads,Techleads Dfplayer Mini Mp3 Player Module For Arduino,B07N4MYY3T,TL-26008,RB-1212,0,FALSE,,,,LINKED,133,150
FLIPKART_techleads,Robotbanao DFPlayer Mini MP3 Player Module For Arduino Motor Control Electronic Hobby Kit (),LSTEHKFE8JFXGVYYJXVC7BO89,TL-26008,RB-1212,0,FALSE,,,,LINKED,133,
FLIPKART_techleads,Robotbanao ultrasonic combo kit for arduino | Arduino Project Kit Temperature Sensor and Controller Electronic Hobby Kit (),LSTEHKFEATWCDC3J6QHCYWF0G,TL-26011,RB-1454,0,FALSE,,,,LINKED,1364,459
AMAZON_IN_techleads,"Techleads Sg90 Ultrasonic Combo Kit, Multi-color, Combo of 2",B07N4MRHPB,TL-26011,RB-1454,0,FALSE,,,,LINKED,1364,402
FLIPKART_techleads,Robotbanao TEC-12706 12V 6A 40X40MM TEC SEMICONDUCTOR THERMOELECTRIC COOLER PELTIER Electronic Components Electronic Hobby Kit (),LSTEHKFEZBYNXPZVXWV0JRFQE,TL-26012,RB-1108,0,FALSE,,,,LINKED,114,0
FLIPKART_techleads,"Robotbanao Yellow Backlight Alphanumeric Display For Arduino,Raspberry Pi |Project Display Display Lights Electronic Hobby Kit ()",LSTEHKFEE6YQG5MBETGVDLRKK,TL-26013,RB-1121,0,FALSE,,,,LINKED,271,459
AMAZON_IN_techleads,"Techleads Lcd Backlight Alphanumeric Display For Arduino,Raspberry Pi (16X2, Yellow)",B07N4MR8Z7,TL-26013,RB-1121,0,FALSE,,,,LINKED,271,463
FLIPKART_techleads,Robotbanao 2 Channel Relay Module Shield for Arduino ARM PIC AVR DSP Micro Controller Board Electronic Hobby Kit (),LSTEHKFEBTUFCABA28YUOQVQ7,TL-26014,RB-1124,0,FALSE,,,,LINKED,1759,1437
AMAZON_IN_techleads,Techleads 5V 10A 2 Channel Relay Module Shield for Arduino ARM PIC AVR DSP Electronic,B07N4N9KJF,TL-26014,RB-1124,0,FALSE,,,,LINKED,1759,1939
FLIPKART_JAIN,Robotbanao 2 Channel Relay Module Shield for Arduino ARM PIC AVR DSP Micro Controller Board Electronic Hobby Kit,LSTEHKFEBTUFCABA28YUOQVQ7,TL-26014,RB-1124,0,FALSE,,,,LINKED,1759,
FLIPKART_techleads,Robotbanao STM32 F103C8T6 Minimum System Development Board Module For Arduino Educational Electronic Hobby Kit (),LSTEHKFEAXW7KSZKV6MZWUVD9,TL-26015,RB-1250,0,FALSE,,,,LINKED,81,14
FLIPKART_JAIN,Robotbanao STM32 F103C8T6 Minimum System Development Board Module For Arduino Educational Electronic Hobby Kit,LSTEHKFEAXW7KSZKV6MZWUVD9,TL-26015,RB-1250,0,FALSE,,,,LINKED,81,
AMAZON_IN_techleads,Techleads Stm32 F103C8T6 Minimum System Development Board Module For Arduino,B07N4NSKJ1,TL-26015,RB-1250,0,FALSE,,,,LINKED,81,
FLIPKART_techleads,Robotbanao Tower Pro MG996R Metal Gears Digital RC Servo Motor High Torque Motor Control Electronic Hobby Kit (),LSTEHKFEAYYREHEHFGYKDZ4TY,TL-26016,RB-1210,0,FALSE,,,,LINKED,427,230
AMAZON_IN_techleads,Techleads Tower Pro Mg996R Metal Gears Digital Rc Servo Motor High Torque,B07N4LJNHZ,TL-26016,RB-1210,0,FALSE,,,,LINKED,427,529
FLIPKART_techleads,Robotbanao Max7219 Dot Matrix Module Mcu Control Led Display Diy Kit for Arduino Display Lights Electronic Hobby Kit (),LSTEHKFEC4MHMW9FQGULDYOKP,TL-26017,RB-1205,0,FALSE,,,,LINKED,287,107
AMAZON_IN_techleads,Techleads Max7219 Dot Matrix Module Mcu Control Led Display Diy Kit For Arduino,B07N4MBQY3,TL-26017,RB-1205,0,FALSE,,,,LINKED,287,307
AMAZON_IN_techleads,Techleads Combo of 4 pcs of 30A Brushless Motor Speed Controller RC BEC ESC for Quadcopter Plane Helicopter,B07N4MCWFC,TL-26018,RB-1367,0,FALSE,,,,LINKED,495,70
FLIPKART_techleads,Robotbanao D1 mini V2.2.0 WIFI Internet Development Board Based ESP8266 4MB FLASH ESP-12S Chip Micro Controller Board Electronic Hobby Kit (),LSTEHKFECA8JFRZMEKWRNTFXQ,TL-26019,RB-1308,0,FALSE,,,,LINKED,20,53
AMAZON_IN_techleads,Techleads D1 Mini V2.2.0 Wifi Internet Development Board Based Esp8266 4Mb Flash Esp12S Chip,B07N4MXT8H,TL-26019,RB-1162,0,FALSE,,,,LINKED,41,102
FLIPKART_techleads,Robotbanao SG 90 Tower Pro Micro Servo Motor Motor Control Electronic Hobby Kit (),LSTEHKFEC5ZMHYKWZ6DPYETF7,TL-26020,RB-1245,0,FALSE,,,,LINKED,32074,983
AMAZON_IN_techleads,"Techleads Sg 90 Tower Pro Micro Servo Motor, Multi-color",B07N4MNQM1,TL-26020,RB-1245,0,FALSE,,,,LINKED,32074,16963
FLIPKART_techleads,Robotbanao LM2596 DC to DC Buck Converter 3.0-40V - 1.5-35V Power Supply Step Down Module (10 Pieces) Power Supply Electronic Hobby Kit (),LSTEHKFECANHCHBXFEAAIUD6V,TL-26021,RB-1202,0,FALSE,,,,LINKED,4118,572
AMAZON_IN_techleads,"Techleads Lm2596 Dc To Dc Buck Converter Power Supply Step Down Module (3.040V 1.535V, 10 Pieces)",B07N4LZLDN,TL-26021,RB-10004,0,FALSE,,,,LINKED,410,61
FLIPKART_techleads,Robotbanao 1045/1045R Oem Propeller Multi Rotor Helicopter (2PCS) (Black),LSTETYFED3FYQYGG29R77NADR,TL-26023,RB-1316,0,FALSE,,,,LINKED,809,415
FLIPKART_JAIN,Robotbanao 1045/1045R Oem Propeller Multi Rotor Helicopter (2PCS) Na Black,LSTETYFED3FYQYGG29R77NADR,TL-26023,RB-1316,0,FALSE,,,,LINKED,809,
AMAZON_IN_techleads,"Techleads 1045/1045r Oem Propeller Multi Rotor Helicopter, Black, Set of 2",B07N4NLD54,TL-26023,RB-1316,0,FALSE,,,,LINKED,809,399
AMAZON_IN_techleads,Techleads Brushless Motor Bldc Hex Rotor For Multicopter And Rc Aircraft (1000Kv),B07N4NTTWH,TL-26024,RB-1115,0,FALSE,,,,LINKED,1792,158
FLIPKART_techleads,Robotbanao Brushless Motor 1000KV BLDC Hex Rotor for Multi-Copter and RC Aircraft Motor Control Electronic Hobby Kit (),LSTEHKFED4TRJHVYHMHJZ1ZQ2,TL-26024,RB-1115,0,FALSE,,,,LINKED,1792,
FLIPKART_techleads,Robotbanao Ultimate QUADCOPTER KIT Combo of ESC 30a And Brushless motor 1000kv and Propeller 1045 -Set of 4 Pieces Electronic Components Electronic Hobby Kit (),LSTEHKFED9YGQ7HEUPJLCKOHN,TL-26025,RB-1479,0,FALSE,,,,LINKED,404,64
AMAZON_IN_techleads,Techleads Ultimate Quadcopter Kit Combo Of Esc 30A And Brushless Motor (Set Of 4 Pieces),B07N4P4F55,TL-26025,RB-1479,0,FALSE,,,,LINKED,404,39
FLIPKART_techleads,Robotbanao 1602 LCD Shield Module Display V3 for Arduino Uno R3 Mega2560 Nano Due Display Lights Electronic Hobby Kit (),LSTEHKFED9ZPMHUHVMP7MOHUN,TL-26026,RB-1119,0,FALSE,,,,LINKED,113,132
AMAZON_IN_techleads,Techleads 1602 Lcd Shield Module Display V3 For Arduino Uno R3 Mega2560 Nano Due,B07N4N3WJ2,TL-26026,RB-1119,0,FALSE,,,,LINKED,113,132
FLIPKART_techleads,Robotbanao 5-Piece IR Infrared Obstacle Avoidance Sensor Module for Arduino Smart Car Robot Light Electronic Hobby Kit (),LSTEHKFEDB6ZZWQHKFWXT6HZ6,TL-26027,RB-1380,0,FALSE,,,,LINKED,223,250
AMAZON_IN_techleads,Techleads Ir Infrared Obstacle Avoidance Sensor Module For Arduino Smart Car Robot (5Piece),B07N4MSC2Q,TL-26027,RB-1380,0,FALSE,,,,LINKED,223,219
AMAZON_IN_techleads,Techleads A2212 1000Kv Outrunner Brushless Motor And 30A Simonk Red Esc Electric Speed Controller (4 Piece),B07N4MYXS8,TL-26028,RB-1374,0,FALSE,,,,LINKED,404,0
FLIPKART_techleads,Robotbanao Side pin Upgraded Version Interconnect Electronic Hobby Kit (),LSTEHKFEQGJYMJVDAGPO4TM6U,TL-26029,RB-1153,0,FALSE,,,,LINKED,0,0
AMAZON_IN_techleads,Techleads Open Pilot Cc3D Evo Flight Controller For Qav250 280 Robocat 270 Mini Quadcopter Mutilcopter,B07N4TRYQF,TL-26029,RB-1153,0,FALSE,,,,LINKED,0,0
FLIPKART_techleads,Robotbanao Raspberry Pi 3 Official Case - Black/Grey Educational Electronic Hobby Kit (),LSTEHKFEEE2BZGGPPNGTMZKVF,TL-26030,RB-1228,0,FALSE,,,,LINKED,284,0
FLIPKART_JAIN,Robotbanao Raspberry Pi 3 Official Case - Black/Grey Educational Electronic Hobby Kit,LSTEHKFEEE2BZGGPPNGTMZKVF,TL-26030,RB-1228,0,FALSE,,,,LINKED,284,
AMAZON_IN_techleads,Techleads Raspberry Pi 3 Official Case - Black/Grey,B07N4MSXCY,TL-26030,RB-1228,0,FALSE,,,,LINKED,284,
